sku_id,brand,name,image_1,image_2,price,apparel,occasion,dress_code,url,,,,,,,,,,
47,Ann Taylor,POPOVER CAMP S HIRT,AT38.jpg,AT39.jpg,79.5,top,"day to day, casual friday","smart casual, biz casual, tech casual",http://www.anntaylor.com/popover-camp-shirt/387695?skuId=20342081&defaultColor=0845&colorExplode=false&catid=cat2940015,,,,,,,,,,
48,Ann Taylor,PERFECT SHIRT,AT40.jpg,AT41.jpg,39.5,blouse,"day to day, casual friday","biz casual, smart casual",http://www.anntaylor.com/perfect-shirt/379618,,,,,,,,,,
49,Ann Taylor,TWO-IN-ONE TOP,AT42.jpg,AT43.jpg,49.5,top,"day to day, casual friday","smart casual, biz casual, tech casual",http://www.anntaylor.com/two-in-one-top/399660?skuId=20575236&defaultColor=5720&colorExplode=false&catid=cat70008,,,,,,,,,,
50,Ann Taylor,PETITE FLARED KNIT SKIRT,AT44.jpg,AT45.jpg,98,skirt,"day to day, happy hour",biz casual,http://www.anntaylor.com/petite-flared-knit-skirt/395181?skuId=20307974&defaultColor=6600&colorExplode=false&catid=cata000031,,,,,,,,,,
51,Ann Taylor,STRUCTURED PEPLUM SHORT SLEEVE TOP,AT46.jpg,AT47.jpg,59.5,"top, suit","first day, client meeting, big presentation","biz casual, biz formal",http://www.anntaylor.com/structured-peplum-short-sleeve-top/398572?skuId=20346393&defaultColor=1048&colorExplode=false&catid=cat70008,,,,,,,,,,
52,Ann Taylor,PETITE PONTE PENCIL SKIRT,AT46.jpg,AT48.jpg,98,"skirt, suit","first day, client meeting, big presentation","biz casual, biz formal",http://www.anntaylor.com/petite-ponte-pencil-skirt/397754?skuId=20147143&defaultColor=6716&colorExplode=false&catid=cata000031,,,,,,,,,,
55,J. Crew,FINE-STRIPE V-NECK CARDIGAN SWEATER,JC12.jpg,JC13.jpg,59.99,sweater,"happy hour, day to day, casual friday","biz casual, smart casual",https://www.jcrew.com/womens_category/sweaters/cardigans/PRDOVR~E8240/E8240.jsp,,,,,,,,,,
56,J. Crew,V-NECK CARDIGAN SWEATER IN MERINO WOOL,JC14.jpg,JC15.jpg,49.99,sweater,"happy hour, day to day, casual friday","biz casual, smart casual",https://www.jcrew.com/womens_category/sweaters/cardigans/PRDOVR~E8256/E8256.jsp,,,,,,,,,,
57,J. Crew,RHODES BLAZER IN ITALIAN WOOL,JC16.jpg,JC17.jpg,248,blazer,"first day, client meeting, big presentation",biz formal,https://www.jcrew.com/womens_category/blazers/blazers/PRDOVR~C9131/C9131.jsp?color_name=dark-lake,,,,,,,,,,
58,J. Crew,REGENT BLAZER,JC18.jpg,JC19.jpg,198,blazer,"first day, client meeting, big presentation",biz formal,https://www.jcrew.com/womens_category/blazers/blazers/PRDOVR~B0323/B0323.jsp?color_name=warm-camel,,,,,,,,,,
59,J. Crew,BELL-SLEEVE CREPE DRESS,JC20.jpg,JC21.jpg,99.99,dress,"client meeting, day to day, big presentation",biz casual,https://www.jcrew.com/womens_category/suiting/dresses/PRDOVR~E7848/E7848.jsp?color_name=shell-pink,,,,,,,,,,
